k	Re[k]	Im[k]	ABS[k]
632	   0.00159	   0.00034	   0.00163
633	  -0.00038	  -0.00008	   0.00039
634	  -0.00015	  -0.00045	   0.00047
635	  -0.00020	   0.00177	   0.00178
636	  -0.00146	   0.00020	   0.00148
637	  -0.00173	   0.00703	   0.00724
638	   0.00053	  -0.00042	   0.00067
639	  -0.00096	  -0.00099	   0.00138
640	   0.00024	   0.00006	   0.00024
641	   0.00061	   0.00048	   0.00078
642	  -0.00015	   0.00016	   0.00021
643	  -0.00117	   0.00043	   0.00125
644	   0.00238	   0.00756	   0.00793
645	  -0.00030	  -0.00034	   0.00045
646	   0.00041	   0.00032	   0.00052
647	  -0.00472	  -0.00302	   0.00560
648	   0.00070	  -0.00012	   0.00071
649	   0.00081	   0.00032	   0.00087
650	  -0.00080	   0.00032	   0.00086
651	   0.00093	   0.00056	   0.00109
652	   0.00173	  -0.00071	   0.00187
653	   0.00039	   0.00044	   0.00059
654	  -0.00125	  -0.00025	   0.00127
655	  -0.00117	   0.00061	   0.00132
656	  -0.00061	  -0.00019	   0.00064
657	   0.00170	  -0.00141	   0.00220
658	  -0.00017	   0.00054	   0.00057
659	   0.00008	  -0.00174	   0.00174
660	  -0.00012	  -0.00051	   0.00052
